,Title,Price [€],Purchase Date,Model
0,Lenovo OEM Nvidia GeForce RTX 3070 8GB GDDR6 Grafikkarte Vorführware!,399.0,2023-02-21,RTX 3070
1,ZOTAC GeForce RTX 3070 AMP Holo 8GB GDDR6 Grafikkarte,499.0,2023-02-21,RTX 3070
2,ASUS ROG Strix GeForce RTX 3070 OC White Edition 8GB GDDR6 Grafikkarte,499.0,2023-02-21,RTX 3070
3,ASUS GeForce RTX 3070 DUAL OC 8GB GDDR6 Grafikkarte,425.0,2023-02-20,RTX 3070
4,NVIDIA GeForce RTX 3070 Founders Edition 8GB GDDR6X Grafikkarte,419.0,2023-02-20,RTX 3070
5,ASUS ROG Strix GeForce RTX 3070 OC 8GB GDDR6 Grafikkarte,499.0,2023-02-20,RTX 3070
6,Inno3D GeForce RTX 3070 TWIN X2 OC 8GB GDDR6 Grafikkarte,399.0,2023-02-20,RTX 3070
7,Inno3D GeForce RTX 3070 TWIN X2 OC 8GB GDDR6 Grafikkarte (non LHR),400.0,2023-02-20,RTX 3070
8,MSI GeForce RTX 3070 VENTUS 3X OC 8GB,450.0,2023-02-20,RTX 3070
9,ASUS NVIDIA GeForce RTX 3070 TUF Gaming OC 8GB Gaming Grafikkarte in OVP,405.0,2023-02-20,RTX 3070
10,ASUS ROG Strix GeForce RTX 3070 OC 8GB GDDR6 Grafikkarte non LHR,450.0,2023-02-20,RTX 3070
11,GIGABYTE GeForce RTX 3070 MASTER 8‎GB GDDR6 Grafikkarte,445.0,2023-02-20,RTX 3070
12,GIGABYTE GeForce RTX 3070 GAMING OC 8GB GDDR6 Grafikkarte,425.0,2023-02-20,RTX 3070
13,GIGABYTE GeForce RTX 3070 Gaming OC 8G GDDR6 TOP Zustand,422.5,2023-02-20,RTX 3070
14,"EVGA GeForce RTX3070Ti FTW3 ULTRA GAMING LHR 8GB GDDR6X PCIe, HDMI,  Displayport",679.0,2023-02-20,RTX 3070
15,NVIDIA GeForce RTX 3070 Founders Edition 8GB GDDR6 GDDR6 Grafikkarte inkl. OVP,424.0,2023-02-20,RTX 3070
16,Rtx 3070M (Mobile),213.0,2023-02-20,RTX 3070
17,EVGA GeForce RTX 3070 XC3 BLACK GAMING,395.0,2023-02-20,RTX 3070
18,"Gigabyte RTX 3070 Gaming OC, Non-LHR",399.0,2023-02-20,RTX 3070
19,MSI GeForce RTX 3070 SUPRIM 8GB GDDR6 Grafikkarte,449.0,2023-02-20,RTX 3070
20,OEM Nvidia GeForce RTX 3070 8GB GDDR6 NVIDIA Grafikkarte NON LHR Sapphire Chip,429.0,2023-02-20,RTX 3070
21,NVIDIA GeForce RTX 3070 Ti Founders Edition 8GB GDDR6X Grafikkarte,470.0,2023-02-19,RTX 3070
22,MSI GeForce RTX 3070 Ventus 2X OC 8GB GDDR6 GPU Grafikkarte,379.0,2023-02-19,RTX 3070
23,"MSI GeForce RTX 3070 GAMING X TRIO 8GB GDDR6 Grafikkarte, nonLHR",435.0,2023-02-19,RTX 3070
24,Asus RTX 3070 Turbo 8GB - PCIe 4.0 GPU - Non-LHR,365.0,2023-02-19,RTX 3070
25,Asus RTX 3070 Turbo 8GB - PCIe 4.0 GPU - Non-LHR,372.0,2023-02-19,RTX 3070
26,NVIDIA GeForce RTX 3070 Founders Edition 8GB GDDR6 GDDR6 Grafikkarte,405.51,2023-02-19,RTX 3070
27,MSI GeForce RTX 3070 SUPRIM X 8G GDDR6 Grafikkarte (Non-LHR),423.99,2023-02-19,RTX 3070
28,NVIDIA GeForce RTX 3070 Founders Edition 8GB GDDR6 Grafikkarte mit OVP,398.99,2023-02-19,RTX 3070
29,ZOTAC GAMING GeForce RTX 3070 Ti Trinity OC 8GB GDDR6X Grafikkarte,452.78,2023-02-19,RTX 3070
30,GeForce RTX™ 3070 VISION OC 8GB GDDR6 (Kein LHR),450.0,2023-02-19,RTX 3070
31,GIGABYTE GeForce RTX 3070 GAMING OC 8GB GDDR6 Grafikkarte || Non-LHR,417.0,2023-02-19,RTX 3070
32,Colorful GeForce RTX 3070 Non-LHR (N3070-806-SI2) Graphics Card,389.0,2023-02-19,RTX 3070
33,Zotac GeForce RTX 3070 Ti Trinity OC 8gb,649.0,2023-02-18,RTX 3070
34,NVIDIA GeForce RTX 3070 Ti Founders Edition 8GB GDDR6X Grafikkarte,730.0,2023-02-18,RTX 3070
35,MSI Geforce RTX 3070 Suprim 8GB Grafikkarte 3080 3090,418.0,2023-02-18,RTX 3070
36,Geforce rtx 3070,650.0,2023-02-18,RTX 3070
37,ASUS TUF GeForce RTX 3070 8GB OC Grafikkarte,475.0,2023-02-17,RTX 3070
