,Title,Price [€],Purchase Date,Model
0,BLACKMAGIC DESIGN POCKET CINEMA CAMERA 4K BLACK MAGIC BMPCC4K Fast Neuwertig,942.0,2023-02-08,BMPCC 4K
1,Blackmagic Design 4K 120fps Kamera - SET,1050.0,2023-02-05,BMPCC 4K
2,BLACKMAGIC DESIGN POCKET CINEMA CAMERA 4K BLACK MAGIC BMPCC4K 12-BIT BRAW,1249.99,2023-01-23,BMPCC 4K
3,BLACKMAGIC DESIGN POCKET CINEMA CAMERA 4K BLACK MAGIC BMPCC4K 12-BIT BRAW,1269.99,2023-01-20,BMPCC 4K
4,"Blackmagic Design Pocket Cinema Camera 4K, 12 Monate Restgarantie!",899.0,2023-01-19,BMPCC 4K
5,Blackmagic Pocket Cinema Camera 4K Zubehörpaket bester Zustand,800.0,2023-01-12,BMPCC 4K
6,Blackmagic Pocket Cinema Camera 4K Blackmagicdesign   Neu,1299.0,2023-01-10,BMPCC 4K
7,BLACKMAGIC DESIGN POCKET CINEMA CAMERA 4K BLACK MAGIC BMPCC4K 12-BIT BRAW,1249.99,2023-01-08,BMPCC 4K
8,Black Magic Pocket Cinema Camera 6K Pro SmallRig Feelworld 4K Monitor,1787.55,2023-01-04,BMPCC 4K
9,blackmagic design pocket cinema camera 4k,870.0,2023-01-02,BMPCC 4K
10,Blackmagic Pocket Cinema Camera 4K inkl.SmallRig Full Cage - Topzustand,828.0,2022-12-30,BMPCC 4K
11,Blackmagic Pocket Cinema Camera 4K inkl. TILTA Full Cage,968.0,2022-12-29,BMPCC 4K
12,Blackmagic Design Pocket Cinema Camera 4k - BMPCC 4k,905.0,2022-12-25,BMPCC 4K
13,Blackmagic Pocket Cinema Camera 4K wie neu,975.0,2022-12-19,BMPCC 4K
14,Blackmagic Design Pocket Cinema Camera 4K BMPCC4K 12-BIT BRAW,1099.0,2022-12-13,BMPCC 4K
15,"Blackmagic Pocket Cinema Camera 4K, BMPCC4K, kaum benutzt, Bestzustand !",944.0,2022-12-05,BMPCC 4K
16,Blackmagic Pocket Cinema Camera 4K + Extras + Speedbooster EF,1299.0,2022-12-05,BMPCC 4K
17,Blackmagic Design Pocket Cinema Camera 4K BMPCC4K 12-BIT BRAW,1020.0,2022-12-04,BMPCC 4K
18,Blackmagic Pocket Cinema Camera 4K,849.9,2022-11-30,BMPCC 4K
19,Blackmagic Pocket Cinema Camera 4K,989.89,2022-11-26,BMPCC 4K
