,Title,Price [€],Purchase Date,Model
0,*AS-IS* Nikon F2 Body Black 35mm SLR,98.08,2023-02-19,Nikon F2
1,Nikon f 2 defekt mit Original Nikkor Objektiv ,134.77,2023-02-15,Nikon F2
2,Nikon F2 analoge Spiegelreflexkamera Gewährleistung 1 Jahr,245.0,2023-02-14,Nikon F2
3,Nikon F2 AS Photomic SLR 35mm Gehäuse Body Silber silver,335.0,2023-02-12,Nikon F2
4,Nikon F2 AS SLR Spiegelreflexkamera Body Gehäuse,288.0,2023-02-12,Nikon F2
5,Nikon F2 H-MD Titan kompl. Set NOS unbenutzt neu besser als mint! OVP unused!,5550.0,2023-02-10,Nikon F2
6,"Nikon F2 Photomic schwarz + Motordrive MD-2 + MB-1 + 2x MS-1, funktionsfähig",299.99,2023-02-05,Nikon F2
7,Nikon F2 35mm Spiegelreflexkamera  Body mit Riemen,350.0,2023-02-05,Nikon F2
8,nikon f2 as,301.0,2023-02-04,Nikon F2
9,Nikon F2 + DP1 Photomic Camera Body Chrome Gehäuse -tested-,249.99,2023-02-03,Nikon F2
10,Nikon F2 mit Finder DP-2 und Motor Drive MD-2,422.0,2023-01-29,Nikon F2
11,Nikon F2 Gehäuse Body SLR Kamera analoge Spiegelreflexkamera schwarz black,149.0,2023-01-21,Nikon F2
12,"Nikon AF Nikkor 24-85mm f/2,8-4D second Hand teilw. defekt",32.5,2023-01-19,Nikon F2
13,Nikon F2 AS 35mm Spiegelreflexkamera Foto Apparat Vivitar 2.8-3.5 28-90 4/21-100,499.99,2023-01-16,Nikon F2
14,"Nikon Nikkormat FT2 mit Nikkor F 2,0 / 50mm voll funktionsfähig 1:2 50 mm",76.0,2023-01-09,Nikon F2
15,NIKON F2 GEHÄUSE + DW-1 - SHC Art.763341,279.0,2023-01-08,Nikon F2
16,"Nikon F2 + Nikon MD-2, mit Objektiv",202.0,2023-01-04,Nikon F2
17,Nikon F2 AS analoge Spiegelreflexkamera Gewährleistung 1 Jahr,795.0,2023-01-02,Nikon F2
18,Nikon F2 35mm Spiegelreflexkamera  Body. No 7156938,249.0,2023-01-01,Nikon F2
19,Nikon S2 Rangefinder Entfernungsmesser Analog Kamera mit Nikkor HC 5cm 50 mm f/2,740.0,2022-12-31,Nikon F2
20,Nikon S2 Rangefinder Entfernungsmesser Analog Kamera mit Nikkor HC 5cm 50 mm f/2,740.0,2022-12-30,Nikon F2
21,Nikon F2 Gehäuse / Body analoge SLR F-2 schwarz,199.99,2022-12-26,Nikon F2
22,"Nikon F2 schwarz mit DP-2, gebraucht, Verschluss läuft, TTL ging",165.0,2022-12-20,Nikon F2
23,Nikon F2 Photomic Camera Body Chrome Gehäuse No. 7494252 mit viel Zubehör!!!!,156.0,2022-12-19,Nikon F2
24,Nikon F2 Gehäuse,184.0,2022-12-19,Nikon F2
25,Nikon Kameraausrüstung F2 / F3 / Objektive / Zubehör,555.0,2022-12-18,Nikon F2
26,Nikon AF3 35mm f2.8 -  analoge 35mm Film Kompaktkamera Sucherkamera,31.5,2022-12-18,Nikon F2
27,Nikon F2 Gehäuse mit DP1 Sucher - Kamera ist TOP Zustand,289.0,2022-12-17,Nikon F2
28,Nikon One Touch L35AF3 35mm Film Camera w 35mm F2.8 Lens,85.0,2022-12-14,Nikon F2
29,Nikon F2 Nikkor-S Auto 1.4/50mm SHP 304523,299.0,2022-12-13,Nikon F2
30,Nikon F2 35mm Spiegelreflexkamera,232.68,2022-12-10,Nikon F2
31,Nikon F2 SLR Spiegelreflexkamera + Nikkor-N Auto 1:2.8 f=24mm Objektiv,178.0,2022-12-09,Nikon F2
32,Nikon F2 SLR Spiegelreflexkamera Body Gehäuse,280.0,2022-12-07,Nikon F2
33,"Nikkon F2 schwarz mit DP-2, gebraucht, Verschluss läuft, TTL nicht getestet",165.0,2022-12-05,Nikon F2
34,"Nikon F2 Einstellscheibe Gitter E - Gitterscheibe - Focusing Screen Grid ""E""",72.65,2022-12-05,Nikon F2
35,Nikon f2 S Photomic Kamera,420.0,2022-12-03,Nikon F2
36,"Nikon F2 F 2 7485735 Zoom Nikkor C Auto 43-86mm f3,5 608391 je193",179.0,2022-12-02,Nikon F2
37,Nikon F2 Profi Kamera Ausrüstung,1900.0,2022-11-30,Nikon F2
38,✮ Nikon Nikkormat FT2 mit Nikkor 50mm f/2 Objektiv// vom Händler!,199.0,2022-11-30,Nikon F2
39,Nikon F2 35mm Titan Eye Level SLR Film Kamera Body,1195.0,2022-11-27,Nikon F2
40,Nikon F2A mit seltener 8er Seriennummer in OVP / Getestet + neue Dichtungen,779.0,2022-11-23,Nikon F2
